,origDate,origIntRate,origUPB,origLTV,origCLTV,origDebtIncRatio,WorstCreditScore,zipCode,fmacRate,fredRate,rateDiff,stateCat
135,2019-02-01,4.75,84000,67,67,25,759,457,4.46,2.7,0.29000000000000004,36
136,2019-02-01,5.25,91000,80,80,27,773,360,4.46,2.7,0.79,1
137,2019-02-01,4.875,237000,67,67,27,819,160,4.46,2.7,0.415,39
138,2019-02-01,4.875,158000,27,27,28,812,105,4.46,2.7,0.415,35
139,2019-02-01,4.375,322000,54,54,34,683,959,4.46,2.7,-0.08499999999999996,4
140,2019-02-01,4.625,400000,44,44,37,675,947,4.46,2.7,0.16500000000000006,4
141,2019-02-01,4.625,283000,77,77,37,745,77,4.46,2.7,0.16500000000000006,32
142,2019-02-01,4.75,183000,67,67,38,799,551,4.46,2.7,0.29000000000000004,24
143,2019-02-01,4.625,141000,32,32,38,801,77,4.46,2.7,0.16500000000000006,32
144,2019-02-01,4.625,302000,76,76,38,773,442,4.46,2.7,0.16500000000000006,36
145,2019-02-01,4.75,416000,80,80,39,777,920,4.46,2.7,0.29000000000000004,4
146,2019-02-01,4.5,130000,72,72,39,768,882,4.46,2.7,0.040000000000000036,33
147,2019-02-01,4.375,246000,56,56,41,711,77,4.46,2.7,-0.08499999999999996,32
148,2019-02-01,4.5,216000,80,80,43,725,850,4.46,2.7,0.040000000000000036,3
149,2019-02-01,4.625,205000,78,78,43,710,198,4.46,2.7,0.16500000000000006,8
150,2019-02-01,5.25,92000,28,28,45,691,330,4.46,2.7,0.79,9
151,2019-02-01,4.875,210000,70,70,45,773,751,4.46,2.7,0.415,45
152,2019-02-01,4.875,155000,43,43,48,746,805,4.46,2.7,0.415,5
153,2019-02-01,4.625,193000,75,75,48,766,320,4.46,2.7,0.16500000000000006,9
154,2019-02-01,4.75,420000,55,55,49,724,972,4.46,2.7,0.29000000000000004,38
155,2019-02-01,4.25,193000,52,52,50,741,550,4.46,2.7,-0.21,24
156,2019-02-01,4.875,299000,67,67,39,774,490,4.46,2.7,0.415,23
157,2019-02-01,4.875,369000,68,68,22,648,21,4.46,2.7,0.415,20
158,2019-02-01,4.875,223000,55,55,38,692,917,4.46,2.7,0.415,4
159,2019-02-01,5.25,344000,79,79,33,750,983,4.46,2.7,0.79,49
160,2019-02-01,4.875,163000,80,80,18,795,80,4.46,2.7,0.415,32
161,2019-02-01,4.5,232000,60,60,23,688,837,4.46,2.7,0.040000000000000036,14
162,2019-02-01,5.125,364000,77,77,28,699,978,4.46,2.7,0.665,38
163,2019-02-01,5.375,398000,77,77,50,687,193,4.46,2.7,0.915,39
164,2019-02-01,4.291,384000,60,60,43,725,945,4.46,2.7,-0.1689999999999996,4
165,2019-02-01,4.375,180000,65,65,25,763,809,4.46,2.7,-0.08499999999999996,5
166,2019-02-01,4.75,271000,41,41,27,812,950,4.46,2.7,0.29000000000000004,4
167,2019-02-01,4.625,153000,57,57,39,768,704,4.46,2.7,0.16500000000000006,19
168,2019-02-01,4.75,457000,69,69,27,636,20,4.46,2.7,0.29000000000000004,20
169,2019-02-01,4.75,209000,54,54,45,687,710,4.46,2.7,0.29000000000000004,19
170,2019-02-01,4.625,297000,20,20,14,767,949,4.46,2.7,0.16500000000000006,4
171,2019-02-01,4.875,285000,70,70,26,792,970,4.46,2.7,0.415,38
172,2019-02-01,4.875,227000,58,58,30,806,970,4.46,2.7,0.415,38
173,2019-02-01,5.125,262000,85,85,30,718,557,4.46,2.7,0.665,24
174,2019-02-01,4.99,270000,84,84,35,681,840,4.46,2.7,0.5300000000000002,46
175,2019-02-01,4.875,80000,85,85,36,712,596,4.46,2.7,0.415,27
176,2019-02-01,5.5,290000,85,85,38,707,598,4.46,2.7,1.04,27
177,2019-02-01,4.625,163000,82,82,41,761,633,4.46,2.7,0.16500000000000006,25
178,2019-02-01,4.875,356000,85,85,45,729,847,4.46,2.7,0.415,46
179,2019-02-01,4.75,416000,85,85,50,704,919,4.46,2.7,0.29000000000000004,4
180,2019-02-01,4.375,463000,85,85,43,701,330,4.46,2.7,-0.08499999999999996,9
181,2019-02-01,5.0,524000,85,85,45,690,920,4.46,2.7,0.54,4
182,2019-02-01,4.25,379000,85,85,20,739,80,4.46,2.7,-0.21,32
183,2019-02-01,4.5,211000,85,85,38,752,720,4.46,2.7,0.040000000000000036,2
184,2019-02-01,4.5,336000,95,95,41,656,836,4.46,2.7,0.040000000000000036,14
185,2019-02-01,4.5,152000,85,85,39,730,726,4.46,2.7,0.040000000000000036,2
186,2019-02-01,4.25,256000,88,88,31,780,500,4.46,2.7,-0.21,13
187,2019-02-01,5.0,162000,90,90,38,673,66,4.46,2.7,0.54,6
188,2019-02-01,4.375,362000,90,90,35,747,550,4.46,2.7,-0.08499999999999996,24
189,2019-02-01,5.125,303000,90,90,19,784,631,4.46,2.7,0.665,25
190,2019-02-01,4.375,108000,87,87,21,788,522,4.46,2.7,-0.08499999999999996,13
191,2019-02-01,4.875,234000,90,90,24,712,427,4.46,2.7,0.415,18
192,2019-02-01,4.75,175000,88,88,27,744,670,4.46,2.7,0.29000000000000004,17
193,2019-02-01,5.0,250000,88,88,34,685,567,4.46,2.7,0.54,24
194,2019-02-01,4.75,260000,87,87,38,718,567,4.46,2.7,0.29000000000000004,24
195,2019-02-01,5.5,453000,88,88,41,757,605,4.46,2.7,1.04,15
196,2019-02-01,4.375,396000,90,90,48,732,706,4.46,2.7,-0.08499999999999996,19
197,2019-02-01,5.125,270000,88,88,18,743,978,4.46,2.7,0.665,38
198,2019-02-01,4.99,254000,87,87,20,721,785,4.46,2.7,0.5300000000000002,45
199,2019-02-01,4.5,424000,88,88,23,791,550,4.46,2.7,0.040000000000000036,24
200,2019-02-01,4.99,265000,90,90,29,743,290,4.46,2.7,0.5300000000000002,42
201,2019-02-01,4.875,468000,90,90,32,772,601,4.46,2.7,0.415,15
202,2019-02-01,5.125,386000,89,89,34,678,800,4.46,2.7,0.665,5
203,2019-02-01,4.0,398000,88,88,41,730,461,4.46,2.7,-0.46,16
204,2019-02-01,4.75,463000,87,87,49,716,303,4.46,2.7,0.29000000000000004,10
205,2019-02-01,4.875,357000,87,87,33,723,701,4.46,2.7,0.415,19
206,2019-02-01,4.375,199000,93,93,36,770,559,4.46,2.7,-0.08499999999999996,24
207,2019-02-01,5.047,164000,89,89,41,768,357,4.46,2.7,0.5869999999999997,1
208,2019-02-01,5.226,177000,87,87,44,707,385,4.46,2.7,0.7659999999999999,44
209,2019-02-01,4.375,374000,90,90,44,721,846,4.46,2.7,-0.08499999999999996,46
210,2019-02-01,4.75,566000,93,93,50,696,950,4.46,2.7,0.29000000000000004,4
211,2019-02-01,4.5,203000,90,90,17,784,631,4.46,2.7,0.040000000000000036,25
212,2019-02-01,4.99,397000,90,90,33,768,305,4.46,2.7,0.5300000000000002,10
